Nominal Diameter,No of strands,Cross section of conductor,Resistance at 20 °„C,,,Outer diameter unserved,,,,Outer diameter single served,,,,Outer diameter double served,,,,1 kg HF-Litzwire unserved,
,,,,,,,,,,,,,,,,,,,
,,,,,,Grade 1,,Grade 2,,Grade 1,,Grade 2,,Grade 1,,Grade 2,,Grade 1,Grade 2
,,,nom,min,max,min,max,min,max,min,max,min,max,min,max,min,max,Length,Length
[mm],#,[mm?],[Ohm/m],[Ohm/m],[Ohm/m],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[m/kg],[m/kg]
0.02,10,0.0031,5.55,4.995,6.105,0.087,0.095,0.099,0.107,0.112,0.135,0.124,0.147,0.137,0.175,0.149,0.187,"33,344.48","31,689.48"
0.02,12,0.0038,4.655,4.1625,5.0875,0.095,0.104,0.108,0.177,0.12,0.144,0.133,0.157,0.145,0.184,0.158,0.197,"22,787.07","26,407.90"
0.02,16,0.005,3.4688,3.1219,3.8156,0.111,0.121,0.126,0.138,0.136,0.161,0.151,0.176,0.163,0.201,0.176,0.216,"20,840.30","19,805.93"
0.02,20,0.0063,2.775,2.4975,3.0525,0.125,0.136,0.142,0.153,0.15,0.176,0.176,0.193,0.175,0.216,0.192,0.233,"16,672.24","15,844.74"
0.02,30,0.0094,1.85,1.665,2.035,0.154,0.168,0.175,0.189,0.179,0.208,0.2,0.229,0.204,0.248,0.225,0.269,"11,114.83","10,583.16"
0.02,60,0.0188,0.9434,0.8488,1.0375,0.218,0.238,0.248,0.268,0.243,0.278,0.273,0.308,0.268,0.318,0.298,0.348,5557.41,5281.58
0.02,120,0.0377,0.4716,0.4244,0.5187,0.308,0.337,0.351,0.379,0.333,0.377,0.376,0.419,0.358,0.417,0.401,0.459,2778.71,2640.79
0.02,180,0.0565,0.3204,0.2884,0.3525,0.378,0.412,0.429,0.464,0.403,0.452,0.454,0.504,0.428,0.492,0.479,0.544,1852.47,1760.53
0.02,200,0.0628,0.2829,0.2546,0.3112,0.398,0.434,0.453,0.489,0.423,0.474,0.478,0.529,0.448,0.514,0.503,0.569,1667.22,1584.47
